,total_time,fire_size
187,128 days 18:24:00,62173.0
188,58 days 23:40:00,1661.0
189,79 days 06:50:00,51671.0
190,27 days 05:29:00,11615.0
191,4 days 12:00:00,19482.0
192,84 days 18:56:00,1190.0
193,2 days 17:03:00,2360.0
194,79 days 23:59:00,1405.0
195,58 days 20:47:00,2650.0
196,68 days 02:57:00,1038.0
197,107 days 22:30:00,2772.0
198,75 days 22:48:00,1100.0
199,77 days 00:15:00,3300.0
200,74 days 06:19:00,1950.0
201,11 days 19:54:00,3383.0
202,2 days 19:00:00,1539.0
203,76 days 21:23:00,3300.0
204,75 days 00:33:00,4500.0
205,33 days 04:10:00,2362.0
206,10 days 05:24:00,2271.0
207,76 days 19:31:00,28431.0
208,18 days 01:34:00,7200.0
209,10 days 11:09:00,1202.0
210,61 days 16:17:00,6700.0
211,5 days 02:10:00,15387.0
212,66 days 08:00:00,33000.0
213,69 days 17:21:00,5550.0
214,69 days 03:53:00,9400.0
215,21 days 01:30:00,1140.0
216,52 days 00:00:00,4104.0
217,71 days 22:00:00,4980.0
218,91 days 21:45:00,1100.0
219,79 days 20:27:00,31830.0
220,0 days 22:00:00,4000.0
221,51 days 00:00:00,1792.0
222,108 days 23:08:00,2085.0
223,77 days 18:42:00,2200.0
224,8 days 04:00:00,1073.0
225,13 days 20:54:00,4014.0
226,14 days 00:36:00,1824.0
227,26 days 05:31:00,12582.0
228,39 days 00:53:00,1463.0
229,0 days 12:00:00,4191.0
230,0 days 10:00:00,1806.0
231,3 days 04:50:00,1634.0
232,6 days 22:20:00,5818.0
233,78 days 18:00:00,1234.0
234,76 days 05:00:00,2959.0
235,18 days 00:10:00,28661.3
236,53 days 03:13:00,1424.0
237,11 days 05:34:00,1096.0
238,19 days 06:15:00,4317.0
239,8 days 06:00:00,1190.61
240,13 days 18:06:00,14153.7
241,99 days 02:00:00,8800.0
242,4 days 16:38:00,40200.0
243,4 days 07:49:00,3708.0
244,35 days 23:30:00,3739.0
245,42 days 00:58:00,1002.0
246,154 days 16:55:00,2097.0
247,28 days 01:26:00,2384.0
248,154 days 16:55:00,4654.0
249,2 days 05:30:00,1220.0
250,64 days 00:30:00,2270.0
251,141 days 07:00:00,9252.0
252,43 days 03:20:00,13536.0
253,62 days 09:27:00,24000.0
254,6 days 03:00:00,2109.0
255,3 days 18:15:00,2871.0
256,22 days 01:30:00,1370.0
257,137 days 00:00:00,3895.0
258,72 days 01:30:00,16906.0
259,5 days 00:30:00,1935.0
260,2 days 01:00:00,9071.0
261,84 days 03:00:00,34581.0
262,6 days 09:56:00,1300.0
263,5 days 20:00:00,1070.0
264,2 days 05:45:00,1212.0
265,64 days 05:00:00,4044.0
266,30 days 06:20:00,75484.0
267,34 days 13:30:00,1031.0
268,37 days 19:30:00,10131.0
269,0 days 06:10:00,1746.0
270,28 days 13:00:00,2404.0
271,11 days 03:00:00,5016.0
272,128 days 19:46:00,102000.0
273,30 days 07:55:00,1500.0
274,4 days 04:14:00,4200.0
275,37 days 22:40:00,1257.0
276,53 days 03:00:00,1918.0
277,0 days 19:25:00,2445.0
278,4 days 17:23:00,6460.0
279,3 days 09:31:00,2309.0
280,90 days 19:46:00,20159.0
281,13 days 05:29:00,4200.0
282,38 days 11:29:00,2906.0
283,48 days 11:29:00,52891.0
