,native,lat,long
179,TRIBE,35.6868,-94.638
180,TRIBE,36.2904,-94.8919
181,TRIBE,36.3181,-94.8772
182,TRIBE,36.2556,-95.0127
183,TRIBE,36.3023,-94.9933
184,TRIBE,35.7287,-94.6986
185,TRIBE,36.3201,-94.8988
186,TRIBE,36.2976,-94.9044
187,TRIBE,36.3126,-94.9025
188,TRIBE,36.3004,-94.9033
189,TRIBE,35.7265,-94.6813
190,TRIBE,36.3259,-94.9013
191,TRIBE,36.184,-95.1533
192,TRIBE,36.2965,-94.9722
193,TRIBE,36.3045,-94.868
194,TRIBE,36.277,-94.8891
195,TRIBE,36.3251,-95.0527
196,TRIBE,36.2884,-94.8897
197,TRIBE,36.2829,-94.8963
198,TRIBE,36.3315,-94.9147
199,TRIBE,36.279,-94.9041
200,TRIBE,35.6804,-94.7261
201,TRIBE,35.702,-94.5172
202,TRIBE,35.6973,-94.5066
203,TRIBE,35.732,-94.5444
204,TRIBE,35.737,-94.5544
205,TRIBE,35.709,-94.5091
206,TRIBE,35.7137,-94.5744
207,TRIBE,35.7448,-94.6705
208,TRIBE,35.6459,-94.6747
209,BIA,34.4501,-94.6669
210,BIA,34.4501,-94.6002
211,BIA,34.6168,-95.2669
212,BIA,33.9668,-94.8169
213,BIA,34.3668,-94.8836
214,BIA,34.4668,-94.6669
215,BIA,34.0834,-94.9002
216,BIA,34.3834,-94.8169
217,BIA,34.3834,-94.8169
218,BIA,34.1168,-94.6002
219,BIA,33.9168,-94.5669
220,BIA,34.1334,-94.6002
221,BIA,34.0668,-94.6502
222,BIA,34.0668,-94.6835
223,BIA,34.0668,-94.6502
224,BIA,34.0668,-94.6502
225,BIA,34.1001,-94.6669
226,BIA,34.0001,-94.5335
227,BIA,34.0001,-94.5502
228,BIA,34.4501,-94.6669
229,BIA,34.6168,-95.2336
230,BIA,34.5168,-95.4836
231,BIA,34.6168,-95.2169
232,BIA,34.0001,-94.5335
233,BIA,34.4501,-94.6669
234,BIA,34.0501,-94.6502
235,BIA,34.0501,-94.8836
236,BIA,34.6168,-95.0336
237,BIA,34.6168,-95.0336
238,BIA,34.4001,-94.6169
239,BIA,34.1334,-95.0002
240,BIA,34.1168,-94.9669
241,BIA,34.1168,-94.9669
242,BIA,34.1168,-94.9669
243,BIA,34.1168,-94.9669
244,BIA,34.1168,-94.9669
245,BIA,34.1168,-94.8336
246,BIA,34.0501,-95.0169
247,BIA,34.0501,-95.0169
248,BIA,34.0501,-95.0169
249,BIA,34.0501,-95.0169
250,BIA,34.0501,-95.0169
251,BIA,33.9501,-94.5169
252,BIA,34.0501,-95.0169
253,BIA,34.0834,-94.9002
254,BIA,34.1334,-95.3169
255,TRIBE,36.0001,-95.0002
256,TRIBE,36.0001,-95.0002
257,TRIBE,36.0001,-95.0002
258,TRIBE,36.0001,-95.0002
259,TRIBE,36.0001,-95.0002
260,TRIBE,36.0001,-95.0002
261,TRIBE,36.0001,-95.0002
262,TRIBE,36.0001,-95.0002
263,TRIBE,36.0001,-95.0002
264,TRIBE,36.0001,-95.0002
265,TRIBE,36.0001,-95.0002
266,TRIBE,36.0001,-95.0002
267,TRIBE,36.0001,-95.0002
268,TRIBE,36.0001,-95.0002
269,TRIBE,36.0001,-95.0002
270,TRIBE,36.0001,-95.0002
271,TRIBE,36.0001,-95.0002
272,TRIBE,36.0001,-95.0002
273,TRIBE,36.0001,-95.0002
274,TRIBE,36.0001,-95.0002
275,TRIBE,36.0001,-95.0002
276,TRIBE,36.164,-95.0002
277,TRIBE,36.0001,-95.0002
278,TRIBE,36.0001,-95.0002
279,TRIBE,36.0001,-95.0002
280,TRIBE,36.0001,-95.0002
281,TRIBE,36.0001,-95.0002
282,TRIBE,36.0001,-95.0002
283,TRIBE,36.0001,-95.0002
284,TRIBE,36.0001,-95.0002
285,TRIBE,36.0001,-95.0002
286,TRIBE,36.0001,-95.0002
287,TRIBE,36.0001,-95.0002
288,TRIBE,36.0001,-95.0002
289,TRIBE,36.0001,-95.0002
290,TRIBE,36.0001,-95.0002
291,TRIBE,36.0001,-95.0002
292,TRIBE,36.0001,-95.0002
293,TRIBE,36.0001,-95.0002
294,TRIBE,36.0001,-95.0002
295,TRIBE,36.0001,-95.0002
296,TRIBE,36.0001,-95.0002
297,TRIBE,36.0001,-95.0002
298,TRIBE,36.0001,-95.0002
299,TRIBE,36.0001,-95.0002
300,TRIBE,36.0001,-95.0002
301,TRIBE,36.0001,-95.0002
302,TRIBE,36.0001,-95.0002
303,TRIBE,36.0001,-95.0002
304,TRIBE,36.0001,-95.0002
305,TRIBE,36.0001,-95.0002
306,TRIBE,36.0001,-95.0002
307,TRIBE,36.0001,-95.0002
308,TRIBE,36.0001,-95.0002
309,TRIBE,36.0001,-95.0002
310,TRIBE,36.0001,-95.0002
311,TRIBE,36.0001,-95.0002
312,TRIBE,36.0001,-95.0002
313,TRIBE,36.0001,-95.0002
314,TRIBE,36.0001,-95.0002
315,TRIBE,36.0001,-95.0002
316,TRIBE,36.0001,-95.0002
317,TRIBE,36.0001,-95.0002
318,TRIBE,36.0001,-95.0002
319,TRIBE,36.0001,-95.0002
320,TRIBE,36.0001,-95.0002
321,TRIBE,36.0001,-95.0002
322,TRIBE,36.0001,-95.0002
323,TRIBE,36.0001,-95.0002
324,TRIBE,36.0001,-95.0002
325,TRIBE,36.0001,-95.0002
326,TRIBE,36.0001,-95.0002
327,TRIBE,36.0001,-95.0002
328,TRIBE,36.0001,-95.0002
329,TRIBE,36.0001,-95.0002
330,TRIBE,36.0001,-95.0002
331,TRIBE,36.0001,-95.0002
332,TRIBE,36.0001,-95.0002
333,TRIBE,36.0001,-95.0002
334,TRIBE,36.0001,-95.0002
335,BIA,61.8493,-156.3523
336,BIA,65.8494,-156.3693
337,BIA,62.783,-141.1855
338,BIA,62.0326,-163.4857
339,TRIBE,36.0001,-95.0002
340,TRIBE,36.0001,-95.0002
341,TRIBE,36.0001,-95.0002
342,TRIBE,36.0001,-95.0002
343,TRIBE,36.0001,-95.0002
344,TRIBE,36.0001,-95.0002
345,TRIBE,36.0001,-95.0002
346,TRIBE,36.0001,-95.0002
347,TRIBE,36.0001,-95.0002
348,TRIBE,36.0001,-95.0002
349,TRIBE,36.0001,-95.0002
350,TRIBE,36.0001,-95.0002
351,TRIBE,36.0001,-95.0002
352,TRIBE,36.0001,-95.0002
353,TRIBE,36.0001,-95.0002
354,TRIBE,36.0001,-95.0002
355,TRIBE,36.0001,-95.0002
356,TRIBE,36.0001,-95.0002
357,TRIBE,36.0001,-95.0002
358,TRIBE,36.0001,-95.0002
359,TRIBE,36.0001,-95.0002
360,TRIBE,36.0001,-95.0002
361,TRIBE,36.0001,-95.0002
362,TRIBE,36.0001,-95.0002
363,TRIBE,36.0001,-95.0002
364,TRIBE,36.0001,-95.0002
365,TRIBE,36.0001,-95.0002
366,TRIBE,36.0001,-95.0002
367,TRIBE,36.0001,-95.0002
368,TRIBE,36.0001,-95.0002
369,TRIBE,36.0001,-95.0002
370,TRIBE,36.0001,-95.0002
371,TRIBE,36.0001,-95.0002
372,TRIBE,36.0001,-95.0002
373,TRIBE,36.0001,-95.0002
374,TRIBE,36.0001,-95.0002
375,TRIBE,36.0001,-95.0002
376,TRIBE,36.0001,-95.0002
377,TRIBE,36.0001,-95.0002
378,TRIBE,36.0001,-95.0002
379,TRIBE,36.0001,-95.0002
380,TRIBE,36.0001,-95.0002
381,TRIBE,36.0001,-95.0002
382,TRIBE,36.0001,-95.0002
383,TRIBE,36.0001,-95.0002
384,TRIBE,36.0001,-95.0002
385,TRIBE,36.0001,-95.0002
386,TRIBE,36.0001,-95.0002
387,TRIBE,36.3037,-94.848
388,TRIBE,35.7323,-94.5194
389,TRIBE,35.6765,-94.6747
390,TRIBE,36.309,-94.818
391,TRIBE,36.3012,-94.8152
392,TRIBE,35.7331,-94.5669
393,TRIBE,35.7456,-94.5305
394,TRIBE,36.3151,-94.9894
395,TRIBE,36.2909,-94.8911
396,TRIBE,36.2826,-94.8352
397,TRIBE,36.3018,-94.9033
398,TRIBE,35.6606,-94.5836
399,TRIBE,36.2698,-94.9
400,TRIBE,36.3201,-94.8766
401,TRIBE,36.2901,-94.7952
402,TRIBE,36.329,-94.983
403,TRIBE,36.2868,-94.8938
404,TRIBE,36.3304,-94.9152
405,TRIBE,36.3306,-94.9158
406,TRIBE,36.319,-94.9311
407,TRIBE,36.3129,-94.9072
408,TRIBE,36.314,-94.9077
409,TRIBE,36.2937,-94.805
410,TRIBE,36.3123,-94.8427
411,TRIBE,36.3151,-94.9091
412,TRIBE,36.3054,-94.9908
413,TRIBE,36.299,-94.9083
414,TRIBE,36.299,-94.9113
415,TRIBE,36.299,-94.9113
416,TRIBE,35.7329,-94.5444
417,TRIBE,35.7181,-94.6066
418,TRIBE,35.6787,-94.6888
419,TRIBE,36.3101,-94.8163
420,TRIBE,35.7298,-94.5727
421,TRIBE,35.7315,-94.5605
422,TRIBE,35.7359,-94.6666
423,TRIBE,35.2407,-94.5116
424,TRIBE,36.314,-94.883
425,TRIBE,35.6815,-94.6899
426,TRIBE,35.6615,-94.7252
427,TRIBE,36.2626,-95.0263
428,TRIBE,35.6787,-94.7272
429,TRIBE,35.6395,-94.7605
430,TRIBE,35.5562,-94.5327
431,TRIBE,36.3256,-94.9052
432,TRIBE,36.3137,-94.9177
433,TRIBE,36.3187,-95.0011
434,TRIBE,36.3154,-95.0011
435,TRIBE,36.3212,-94.9927
436,TRIBE,36.3251,-94.9463
437,TRIBE,36.3351,-94.9894
438,TRIBE,36.3276,-94.9913
439,TRIBE,35.7268,-94.6166
440,TRIBE,35.6734,-94.7063
441,TRIBE,36.3048,-94.9125
442,TRIBE,35.7409,-94.5788
443,TRIBE,35.7201,-94.5794
444,TRIBE,35.7215,-94.5672
445,TRIBE,35.7265,-94.5622
446,TRIBE,36.0168,-95.1669
447,TRIBE,36.0168,-95.1669
448,TRIBE,36.1668,-95.0502
449,TRIBE,36.1334,-94.8169
450,TRIBE,36.1168,-94.7336
451,TRIBE,36.0834,-94.7502
452,TRIBE,36.1184,-94.8169
453,TRIBE,36.7167,-95.1002
454,TRIBE,36.7167,-95.0686
455,TRIBE,35.484,-94.5936
456,TRIBE,35.4284,-94.7363
457,TRIBE,35.702,-94.5694
458,TRIBE,35.7143,-94.6822
459,TRIBE,35.5734,-94.7819
460,TRIBE,35.4881,-94.5313
461,TRIBE,35.4862,-94.5938
462,TRIBE,36.1668,-95.0502
463,TRIBE,35.7329,-94.5313
464,TRIBE,36.017,-95.1669
465,TRIBE,36.0168,-95.0169
466,TRIBE,35.6031,-94.8883
467,TRIBE,35.489,-94.5936
468,TRIBE,35.7143,-94.5469
469,TRIBE,35.5862,-94.6216
470,TRIBE,36.0001,-95.0002
471,TRIBE,36.0001,-95.0002
472,TRIBE,36.0001,-95.0002
473,TRIBE,36.0001,-95.0002
474,TRIBE,35.9051,-94.9616
475,TRIBE,36.0001,-95.0002
476,TRIBE,36.0001,-95.0002
477,TRIBE,36.0001,-95.0002
478,TRIBE,36.0001,-95.0002
479,TRIBE,36.0001,-95.0002
480,TRIBE,36.0001,-95.0002
481,TRIBE,36.0001,-95.0002
482,TRIBE,36.0001,-95.0002
483,TRIBE,36.0001,-95.0002
484,TRIBE,36.0001,-95.0002
485,TRIBE,36.0001,-95.0002
486,TRIBE,36.0001,-95.0002
487,TRIBE,36.0001,-95.0002
488,TRIBE,36.0001,-95.0002
489,TRIBE,36.0001,-95.0002
490,TRIBE,36.0001,-95.0002
491,TRIBE,36.0001,-95.0002
492,TRIBE,36.0001,-95.0002
493,TRIBE,36.0001,-95.0002
494,TRIBE,36.0001,-95.0002
495,TRIBE,36.0001,-95.0002
496,TRIBE,36.0001,-95.0002
497,TRIBE,36.0001,-95.0002
498,TRIBE,36.0001,-95.0002
499,TRIBE,36.0001,-95.0002
